Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4
58.399399280548096,327,705,456,42
58.550525188446045,696,705,448,19
58.70109415054321,245,316,54,16
58.852763175964355,338,705,423,17
59.00379014015198,346,344,278,14
59.154810190200806,264,353,298,19
59.30583214759827,209,448,21,16
59.45681309700012,126,162,31,13
59.60756301879883,101,113,19,16
59.75869607925415,58,65,17,16
59.90975999832153,73,56,100,18
60.06082606315613,175,72,118,15
60.21182417869568,24,211,188,19
60.362648010253906,18,67,20,17
60.513615131378174,17,69,17,21
60.664910078048706,17,56,16,16
60.81563425064087,17,123,124,18
60.966423988342285,17,96,127,16
61.1175799369812,17,49,102,17
61.2686550617218,18,191,175,16
61.419647216796875,18,630,38,17
61.57057809829712,19,189,25,15
61.7215359210968,19,95,19,14
61.872581243515015,17,90,21,17
62.02365207672119,18,245,182,14
62.17434000968933,18,41,99,16
62.325313091278076,17,35,38,18
62.47637224197388,17,34,16,16
62.627501010894775,696,34,18,71
62.778343200683594,465,35,19,21
62.92935609817505,488,35,18,19
63.08021330833435,230,35,19,17
63.23135995864868,125,35,22,14
63.38219118118286,46,428,20,15
63.53316116333008,98,120,20,15
63.68434929847717,115,177,20,15
63.835180044174194,78,66,22,17
63.98610210418701,38,61,30,15
64.13714098930359,38,48,18,18
64.28799605369568,20,82,18,17
64.43901419639587,19,67,21,16
64.58996820449829,21,65,19,16
64.74065113067627,20,72,22,14
64.89187502861023,19,128,22,15
65.0427303314209,20,85,19,16
65.19387626647949,20,44,17,16
65.34469413757324,19,43,19,15
65.4955141544342,18,40,18,19
65.64661502838135,19,48,17,17
65.79744005203247,21,63,18,17
65.94833111763,24,55,17,16
66.09938025474548,28,82,17,16
66.25022006034851,31,55,17,15
66.40128827095032,26,49,16,13
66.55219292640686,22,53,17,14
66.70306301116943,18,52,17,16
66.85409808158875,21,88,17,15
67.00500822067261,23,49,16,19
67.15602827072144,53,70,17,15
67.30656409263611,27,101,19,13
67.457839012146,23,68,28,15
67.60885334014893,21,654,20,15
67.75982618331909,17,241,17,14
67.91069006919861,17,41,17,15
68.06159830093384,17,34,18,14
68.21252703666687,20,34,17,14
68.3636212348938,21,34,18,14
68.51451420783997,20,35,16,13
68.66539406776428,20,35,15,13
68.81643414497375,25,34,17,13
68.96733832359314,31,35,17,13
69.11821508407593,21,34,16,14
69.26927828788757,19,35,16,13
69.42021608352661,19,50,16,13
69.57104420661926,20,59,16,13
69.72203516960144,19,51,16,13
69.87302494049072,20,48,16,14
70.02376413345337,21,45,15,13
70.17489504814148,19,47,16,13
70.32578134536743,18,45,17,13
70.47670125961304,20,46,18,13
70.6278030872345,19,43,16,13
70.77858209609985,19,43,17,13
70.92948412895203,20,44,16,13
71.08051133155823,20,59,17,13
71.23146224021912,19,48,17,14
71.38232898712158,19,48,15,13
71.53318119049072,19,39,16,13
71.68432092666626,19,50,16,13
71.83502197265625,19,51,16,14
71.98597288131714,19,50,16,13
72.1370542049408,19,50,16,14
72.2879250049591,19,44,16,13
72.43904399871826,19,41,17,13
72.58946204185486,19,40,17,13
72.74090909957886,30,66,131,94
72.89195513725281,91,92,150,81
73.04301619529724,95,114,151,85
73.19397711753845,72,104,158,88
73.3450071811676,82,92,111,95
73.49620914459229,477,98,102,76
73.6471951007843,142,113,156,93
73.79832005500793,106,83,107,57
73.9492609500885,115,61,73,41
74.10042810440063,262,57,26,39
74.25113010406494,58,48,17,16
74.40207409858704,32,47,16,15
74.55267906188965,26,43,17,20
74.7041802406311,26,44,18,27
74.85479593276978,34,57,25,60
75.00571322441101,29,50,26,53
75.15675210952759,47,49,23,29
75.3077642917633,80,44,29,73
75.45887517929077,202,380,89,544
75.60939121246338,63,66,44,115
75.76062822341919,50,57,27,29
75.9118299484253,102,137,30,490
76.06274724006653,22,55,18,34
76.21323895454407,54,53,16,20
76.36433601379395,24,66,17,17
76.51550889015198,38,88,26,39
76.66674208641052,53,76,86,190
76.81770515441895,128,169,148,63
76.96894717216492,694,188,102,177
77.11998629570007,123,291,137,488
77.27096104621887,227,69,26,115
77.42138910293579,605,69,17,74
77.5728771686554,261,44,19,70
77.72370314598083,89,60,27,41
77.87483525276184,405,110,63,52
78.02605724334717,649,173,101,53
78.17716908454895,119,117,91,62
78.32779121398926,103,91,75,37
78.47884511947632,24,74,80,34
78.62975811958313,55,51,32,18
78.7808301448822,94,94,20,24
78.9318299293518,631,88,20,32
79.08278918266296,269,68,25,121
79.23401808738708,124,54,18,125
